°_ÂI,½n«×,¸g«×,¨´ÂI,½n«×,¸g«×,¶ZÂ÷,®É¶¡
0,22.501264000000003,120.397632,1,22.50686811594203,120.38849275362318,2.1 km,5 mins
0,22.501264000000003,120.397632,2,22.48601,120.40061499999999,2.0 km,5 mins
0,22.501264000000003,120.397632,3,22.5221625,120.40636041666669,3.6 km,6 mins
0,22.501264000000003,120.397632,4,22.50768181818182,120.36973636363636,3.6 km,7 mins
0,22.501264000000003,120.397632,5,22.50383028169014,120.39701901408449,0.4 km,1 min
0,22.501264000000003,120.397632,6,22.49583731343284,120.3834014925373,1.9 km,4 mins
0,22.501264000000003,120.397632,7,22.525743421052628,120.40042894736843,3.1 km,6 mins
0,22.501264000000003,120.397632,8,22.507513812154695,120.41205359116022,2.6 km,5 mins
0,22.501264000000003,120.397632,9,22.513389427312774,120.39501233480176,1.5 km,3 mins
0,22.501264000000003,120.397632,10,22.489835227272724,120.3884443181818,2.6 km,6 mins
0,22.501264000000003,120.397632,11,22.478141463414637,120.41298536585366,3.9 km,9 mins
0,22.501264000000003,120.397632,12,22.503490666666664,120.38614266666669,1.9 km,4 mins
0,22.501264000000003,120.397632,13,22.50190909090909,120.4068909090909,1.4 km,3 mins
0,22.501264000000003,120.397632,14,22.488858426966292,120.39622022471909,1.5 km,3 mins
0,22.501264000000003,120.397632,15,22.508431343283586,120.37648208955223,2.9 km,6 mins
0,22.501264000000003,120.397632,16,22.519666666666666,120.38798,3.4 km,7 mins
0,22.501264000000003,120.397632,17,22.510152873563214,120.40131379310344,1.4 km,4 mins
0,22.501264000000003,120.397632,18,22.50502916666667,120.39163055555555,1.2 km,4 mins
0,22.501264000000003,120.397632,19,22.507326041666666,120.394771875,1.0 km,4 mins
0,22.501264000000003,120.397632,20,22.530392452830192,120.40138113207549,3.7 km,7 mins
0,22.501264000000003,120.397632,21,22.499905504587158,120.38004311926605,2.3 km,5 mins
0,22.501264000000003,120.397632,22,22.512543046357614,120.39180397350994,1.9 km,4 mins
0,22.501264000000003,120.397632,23,22.50091089108911,120.39310594059404,0.6 km,2 mins
0,22.501264000000003,120.397632,24,22.495532258064518,120.39883225806452,0.9 km,2 mins
0,22.501264000000003,120.397632,25,22.4936,120.41501923076923,2.4 km,4 mins
0,22.501264000000003,120.397632,26,22.482,120.40846388888887,3.0 km,6 mins
0,22.501264000000003,120.397632,27,22.52233870967742,120.39768064516129,2.5 km,4 mins
0,22.501264000000003,120.397632,28,22.53172857142857,120.41095714285713,4.6 km,8 mins
0,22.501264000000003,120.397632,29,22.515981395348838,120.40590697674419,2.4 km,5 mins
0,22.501264000000003,120.397632,30,22.50415614035088,120.40248596491229,0.9 km,2 mins
0,22.501264000000003,120.397632,31,22.53373333333333,120.40142083333332,4.0 km,8 mins
0,22.501264000000003,120.397632,32,22.514247222222217,120.38258333333332,3.3 km,7 mins
0,22.501264000000003,120.397632,33,22.50464054054054,120.36769324324324,3.6 km,7 mins
0,22.501264000000003,120.397632,34,22.509552272727277,120.39108068181818,2.3 km,5 mins
0,22.501264000000003,120.397632,35,22.48325061728395,120.39806296296295,2.2 km,6 mins
0,22.501264000000003,120.397632,36,22.500876470588235,120.37320882352941,3.2 km,6 mins
0,22.501264000000003,120.397632,37,22.48953043478261,120.39404260869566,1.8 km,4 mins
0,22.501264000000003,120.397632,38,22.50384666666667,120.38062166666668,2.1 km,4 mins
0,22.501264000000003,120.397632,39,22.500235106382977,120.38718723404257,1.2 km,2 mins
0,22.501264000000003,120.397632,40,22.5288275,120.39824499999999,3.3 km,7 mins
0,22.501264000000003,120.397632,41,22.50345303030303,120.39957878787878,0.5 km,1 min
0,22.501264000000003,120.397632,42,22.49896790123457,120.40645555555555,1.0 km,2 mins
0,22.501264000000003,120.397632,43,22.51256333333333,120.3875,2.8 km,6 mins
0,22.501264000000003,120.397632,44,22.52711935483871,120.39568387096773,3.2 km,7 mins
0,22.501264000000003,120.397632,45,22.501993243243238,120.38973108108108,1.3 km,3 mins
0,22.501264000000003,120.397632,46,22.52354893617021,120.39146170212764,2.7 km,6 mins
0,22.501264000000003,120.397632,47,22.508796666666665,120.39610333333331,0.9 km,2 mins
0,22.501264000000003,120.397632,48,22.517294444444445,120.39548611111113,2.4 km,5 mins
0,22.501264000000003,120.397632,49,22.508111111111113,120.36582222222222,3.8 km,7 mins
0,22.501264000000003,120.397632,50,22.5051525,120.397425,0.5 km,1 min
0,22.501264000000003,120.397632,51,22.50069633027523,120.39756513761469,0.1 km,1 min
0,22.501264000000003,120.397632,52,22.532973584905662,120.39753396226416,4.0 km,9 mins
0,22.501264000000003,120.397632,53,22.520535064935064,120.40563896103895,2.8 km,5 mins
0,22.501264000000003,120.397632,54,22.502841025641022,120.39413076923077,0.5 km,3 mins
0,22.501264000000003,120.397632,55,22.49993035714286,120.38381428571428,1.8 km,4 mins
0,22.501264000000003,120.397632,56,22.484710975609755,120.3971231707317,2.1 km,5 mins
0,22.501264000000003,120.397632,57,22.510693103448283,120.40478965517241,1.7 km,3 mins
0,22.501264000000003,120.397632,58,22.50340743801653,120.38433471074379,1.8 km,4 mins
0,22.501264000000003,120.397632,59,22.52241935483871,120.38698064516129,3.1 km,7 mins
0,22.501264000000003,120.397632,60,22.527132142857145,120.41031071428571,4.3 km,8 mins
0,22.501264000000003,120.397632,61,22.50514736842105,120.37129824561406,3.0 km,6 mins
0,22.501264000000003,120.397632,62,22.495528571428565,120.38896428571428,2.2 km,5 mins
0,22.501264000000003,120.397632,63,22.48765,120.40488125,2.2 km,4 mins
0,22.501264000000003,120.397632,64,22.51207,120.37868,3.3 km,8 mins
0,22.501264000000003,120.397632,65,22.508175,120.40371499999999,1.6 km,4 mins
